Date,From,To,DDH,Gamma,VIX,NAV
2022-08-26,BURN_IN,GOLDILOCKS,NORMAL_TRENDING,GROWTH,25.559999465942383,0.9689166267313952
2022-08-31,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,25.8700008392334,0.9401280069070569
2022-09-12,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,23.8700008392334,1.0099463813105218
2022-09-26,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,32.2599983215332,0.9378021106233497
2022-09-27,CAUTIOUS_BULL,CRISIS_MODE,FAST_SHOCK,GROWTH,32.599998474121094,0.9374720455249778
2022-09-29,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,31.84000015258789,0.9498175146209193
2022-10-05,RECOVERY_GROWTH,GOLDILOCKS,NORMAL_TRENDING,GROWTH,28.549999237060547,1.0119752013340095
2022-10-10,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,32.45000076293945,0.9644823481701419
2022-10-12,CAUTIOUS_BULL,CRISIS_MODE,FAST_SHOCK,GROWTH,33.56999969482422,0.9557411810817398
2022-10-21,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,29.690000534057617,0.9678278165472526
2022-11-09,RECOVERY_GROWTH,GOLDILOCKS,NORMAL_TRENDING,GROWTH,26.09000015258789,0.9904609154874974
2022-11-22,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,21.290000915527344,1.0167323715545735
2022-12-01,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,19.84000015258789,1.1061284787836616
2022-12-19,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,22.420000076293945,1.0652677101496182
2023-01-03,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,22.899999618530273,1.1092214454853024
2023-02-06,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,19.43000030517578,1.1413882042720784
2023-03-14,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,23.729999542236328,1.2225208888727128
2023-05-02,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,17.780000686645508,1.2864343897623227
2023-05-09,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,17.709999084472656,1.340269540178293
