Date,From,To,NAV
2022-06-13,GOLDILOCKS,CRISIS_MODE,0.980960566057647
2022-06-14,CRISIS_MODE,RECOVERY_GROWTH,0.9819952010843662
2022-06-28,RECOVERY_GROWTH,GOLDILOCKS,1.0236536503626832
2022-07-07,GOLDILOCKS,CAUTIOUS_BULL,0.9948642496026213
2022-07-22,CAUTIOUS_BULL,GOLDILOCKS,1.0060769939292602
2022-09-19,GOLDILOCKS,CAUTIOUS_BULL,0.9881876817654837
2022-09-26,CAUTIOUS_BULL,CRISIS_MODE,0.9482165398981105
2022-10-05,CRISIS_MODE,RECOVERY_GROWTH,0.937400840625736
2022-10-06,RECOVERY_GROWTH,CRISIS_MODE,0.93465552602019
2022-10-17,CRISIS_MODE,RECOVERY_GROWTH,0.8940007390139821
2022-10-18,RECOVERY_GROWTH,CRISIS_MODE,0.9063350392452902
2022-10-28,CRISIS_MODE,RECOVERY_GROWTH,0.8522854784955974
2022-10-31,RECOVERY_GROWTH,CAUTIOUS_BULL,0.8553150712160601
2022-11-01,CAUTIOUS_BULL,WHIPSAW,0.8846940214403615
2022-11-16,WHIPSAW,RECOVERY_GROWTH,0.9946755054928553
2022-12-01,RECOVERY_GROWTH,GOLDILOCKS,1.0396207775861435
2022-12-21,GOLDILOCKS,CAUTIOUS_BULL,1.0172815110952915
2023-01-06,CAUTIOUS_BULL,GOLDILOCKS,1.043227764427104
2023-02-23,GOLDILOCKS,CAUTIOUS_BULL,1.05825869237175
2023-04-18,CAUTIOUS_BULL,GOLDILOCKS,1.0884412227685965
2023-04-25,GOLDILOCKS,CAUTIOUS_BULL,1.0437125599238475
2023-06-06,CAUTIOUS_BULL,GOLDILOCKS,1.090635510943098
2023-08-14,GOLDILOCKS,CAUTIOUS_BULL,1.2194973547148773
2023-12-29,CAUTIOUS_BULL,GOLDILOCKS,1.2713775347027358
2024-01-17,GOLDILOCKS,CAUTIOUS_BULL,1.1848056213014537
2024-02-19,CAUTIOUS_BULL,GOLDILOCKS,1.2622002976682414
2024-04-17,GOLDILOCKS,CAUTIOUS_BULL,1.2669100337594585
2024-04-25,CAUTIOUS_BULL,GOLDILOCKS,1.3212017683304564
2024-05-31,GOLDILOCKS,CAUTIOUS_BULL,1.3595464454636341
2024-06-14,CAUTIOUS_BULL,GOLDILOCKS,1.4030109010293317
2024-07-22,GOLDILOCKS,CAUTIOUS_BULL,1.4405097743593789
2024-08-05,CAUTIOUS_BULL,CRISIS_MODE,1.3537159531282004
2024-08-08,CRISIS_MODE,RECOVERY_GROWTH,1.3798309421499968
2024-08-27,RECOVERY_GROWTH,GOLDILOCKS,1.4779434115226577
2024-10-09,GOLDILOCKS,CAUTIOUS_BULL,1.6283745733386974
2024-12-18,CAUTIOUS_BULL,CRISIS_MODE,1.593760015837954
2024-12-19,CRISIS_MODE,RECOVERY_GROWTH,1.568504901100892
2025-02-05,RECOVERY_GROWTH,GOLDILOCKS,1.6981356451319887
2025-04-03,GOLDILOCKS,CRISIS_MODE,1.780380402293749
2025-04-04,CRISIS_MODE,RECOVERY_GROWTH,1.7483501070177603
2025-04-07,RECOVERY_GROWTH,CRISIS_MODE,1.7127672547289987
2025-04-08,CRISIS_MODE,RECOVERY_GROWTH,1.7240240008941612
2025-04-10,RECOVERY_GROWTH,CRISIS_MODE,1.760003882030577
2025-04-14,CRISIS_MODE,RECOVERY_GROWTH,1.8263896250641694
2025-04-15,RECOVERY_GROWTH,GOLDILOCKS,1.8354960383232446
2025-11-20,GOLDILOCKS,CAUTIOUS_BULL,2.499605696694054
2025-12-08,CAUTIOUS_BULL,GOLDILOCKS,2.524320385996718
2025-12-17,GOLDILOCKS,CAUTIOUS_BULL,2.4684548771465447
2025-12-31,CAUTIOUS_BULL,GOLDILOCKS,2.532213486747568
