date,ticker,weight,prev_weight,weight_change,position_value,daily_return_pct,daily_pnl,txn_cost_alloc,nav,action,circuit_breaker,regime,ddh_state,gamma_eff,cum_pnl
2018-07-09,ADA-USD,0.25,0.25,0.0,25000.0,-3.7266,-931.64,0.0,97729.12,HOLD,False,GROWTH,NORMAL,2.0664,-931.64
2018-07-09,BNB-USD,0.25,0.25,0.0,25000.0,-2.3399,-584.98,0.0,97729.12,HOLD,False,GROWTH,NORMAL,2.0664,-584.98
2018-07-09,BTC-USD,0.25,0.25,0.0,25000.0,-0.4743,-118.58,0.0,97729.12,HOLD,False,GROWTH,NORMAL,2.0664,-118.58
2018-07-09,ETH-USD,0.25,0.25,0.0,25000.0,-2.5427,-635.68,0.0,97729.12,HOLD,False,GROWTH,NORMAL,2.0664,-635.68
2018-07-10,ADA-USD,0.25,0.25,0.0,24432.28,-7.9867,-1951.32,0.0,90504.56,HOLD,False,GROWTH,NORMAL,1.9433,-2882.96
2018-07-10,BNB-USD,0.25,0.25,0.0,24432.28,-6.6098,-1614.93,0.0,90504.56,HOLD,False,GROWTH,NORMAL,1.9433,-2199.91
2018-07-10,BTC-USD,0.25,0.25,0.0,24432.28,-6.1082,-1492.37,0.0,90504.56,HOLD,False,GROWTH,NORMAL,1.9433,-1610.95
2018-07-10,ETH-USD,0.25,0.25,0.0,24432.28,-8.865,-2165.93,0.0,90504.56,HOLD,False,GROWTH,NORMAL,1.9433,-2801.61
2018-07-11,ADA-USD,0.25,0.25,0.0,22626.14,2.0894,472.75,0.0,91738.69,HOLD,False,GROWTH,NORMAL,1.8553,-2410.21
2018-07-11,BNB-USD,0.25,0.25,0.0,22626.14,-0.442,-100.0,0.0,91738.69,HOLD,False,GROWTH,NORMAL,1.8553,-2299.91
2018-07-11,BTC-USD,0.25,0.25,0.0,22626.14,1.0231,231.48,0.0,91738.69,HOLD,False,GROWTH,NORMAL,1.8553,-1379.47
2018-07-11,ETH-USD,0.25,0.25,0.0,22626.14,2.7839,629.89,0.0,91738.69,HOLD,False,GROWTH,NORMAL,1.8553,-2171.72
2018-07-12,ADA-USD,0.25,0.25,0.0,22934.67,-3.2719,-750.4,0.0,88403.64,HOLD,False,GROWTH,NORMAL,1.7819,-3160.61
2018-07-12,BNB-USD,0.25,0.25,0.0,22934.67,-4.9926,-1145.03,0.0,88403.64,HOLD,False,GROWTH,NORMAL,1.7819,-3444.94
2018-07-12,BTC-USD,0.25,0.25,0.0,22934.67,-2.5943,-595.0,0.0,88403.64,HOLD,False,GROWTH,NORMAL,1.7819,-1974.47
2018-07-12,ETH-USD,0.25,0.25,0.0,22934.67,-3.6827,-844.62,0.0,88403.64,HOLD,False,GROWTH,NORMAL,1.7819,-3016.34
2018-07-13,ADA-USD,0.25,0.25,0.0,22100.91,8.4179,1860.44,0.0,90700.49,HOLD,False,GROWTH,NORMAL,1.7282,-1300.17
2018-07-13,BNB-USD,0.25,0.25,0.0,22100.91,0.9072,200.49,0.0,90700.49,HOLD,False,GROWTH,NORMAL,1.7282,-3244.45
2018-07-13,BTC-USD,0.25,0.25,0.0,22100.91,0.1483,32.78,0.0,90700.49,HOLD,False,GROWTH,NORMAL,1.7282,-1941.69
2018-07-13,ETH-USD,0.25,0.25,0.0,22100.91,0.9191,203.14,0.0,90700.49,HOLD,False,GROWTH,NORMAL,1.7282,-2813.2
2018-07-14,ADA-USD,0.25,0.25,0.0,22675.12,-0.5766,-130.74,0.0,90660.08,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0915,-1430.91
2018-07-14,BNB-USD,0.25,0.25,0.0,22675.12,-0.6864,-155.63,0.0,90660.08,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0915,-3400.08
2018-07-14,BTC-USD,0.25,0.25,0.0,22675.12,0.6103,138.38,0.0,90660.08,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0915,-1803.31
2018-07-14,ETH-USD,0.25,0.25,0.0,22675.12,0.4744,107.57,0.0,90660.08,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0915,-2705.63
2018-07-15,ADA-USD,0.25,0.25,0.0,22665.02,3.7712,854.74,0.0,92892.67,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0656,-576.17
2018-07-15,BNB-USD,0.25,0.25,0.0,22665.02,1.5922,360.87,0.0,92892.67,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0656,-3039.21
2018-07-15,BTC-USD,0.25,0.25,0.0,22665.02,1.3308,301.62,0.0,92892.67,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0656,-1501.69
2018-07-15,ETH-USD,0.25,0.25,0.0,22665.02,3.1563,715.37,0.0,92892.67,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0656,-1990.26
2018-07-16,ADA-USD,0.25,0.25,0.0,23223.17,9.7398,2261.89,0.0,99932.18,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0442,1685.72
2018-07-16,BNB-USD,0.25,0.25,0.0,23223.17,7.7158,1791.85,0.0,99932.18,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0442,-1247.36
2018-07-16,BTC-USD,0.25,0.25,0.0,23223.17,6.0084,1395.33,0.0,99932.18,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0442,-106.36
2018-07-16,ETH-USD,0.25,0.25,0.0,23223.17,6.8485,1590.44,0.0,99932.18,HOLD,False,MODERATE,EARLY_DRAWDOWN,1.0442,-399.82
2018-07-17,ADA-USD,0.25,0.25,0.0,24983.04,9.4461,2359.91,0.0,106393.61,HOLD,False,GROWTH,NORMAL,1.5746,4045.63
2018-07-17,BNB-USD,0.25,0.25,0.0,24983.04,3.5921,897.42,0.0,106393.61,HOLD,False,GROWTH,NORMAL,1.5746,-349.94
2018-07-17,BTC-USD,0.25,0.25,0.0,24983.04,8.5926,2146.69,0.0,106393.61,HOLD,False,GROWTH,NORMAL,1.5746,2040.33
