Date,NAV,Daily_PnL_Pct,Action,Leverage,Risk_Prob,Trauma_Score,Event
2025-01-02,1000000.0,0.0,DEPLOYING,0.0,0.0,0.0,WARMUP_COMPLETE
2025-01-02,1011296.19,1.13,GOLD HEDGE,1.0,51.8,0.91,NORMAL
2025-01-03,1006009.45,-0.52,GOLD HEDGE,1.0,51.8,0.903,NORMAL
2025-01-06,1003499.14,-0.25,GOLD HEDGE,1.0,51.7,0.907,NORMAL
2025-01-07,1010459.46,0.69,GOLD HEDGE,1.0,51.7,0.875,NORMAL
2025-01-08,1013426.16,0.29,GOLD HEDGE,1.0,51.7,0.906,NORMAL
2025-01-09,1020766.81,0.72,GOLD HEDGE,1.0,51.6,0.899,NORMAL
2025-01-10,1030161.28,0.92,GOLD HEDGE,1.0,51.4,0.9,NORMAL
2025-01-13,1016849.25,-1.29,GOLD HEDGE,1.0,51.3,0.929,NORMAL
2025-01-14,1018370.63,0.15,GOLD HEDGE,1.0,51.3,0.92,NORMAL
2025-01-15,1031682.66,1.31,GOLD HEDGE,1.0,51.2,0.909,NORMAL
2025-01-16,1044576.28,1.25,GOLD HEDGE,1.0,51.1,0.923,NORMAL
2025-01-17,1043777.61,-0.08,GOLD HEDGE,1.0,51.1,0.918,NORMAL
2025-01-21,1047847.27,0.39,GOLD HEDGE,1.0,51.0,0.91,NORMAL
2025-01-22,1052639.64,0.46,GOLD HEDGE,1.0,50.9,0.904,NORMAL
2025-01-23,1050928.1,-0.16,GOLD HEDGE,1.0,50.9,0.901,NORMAL
2025-01-24,1056328.96,0.51,GOLD HEDGE,1.0,50.9,0.897,NORMAL
2025-01-27,1041191.26,-1.43,GOLD HEDGE,1.0,50.8,0.871,NORMAL
2025-01-28,1052335.35,1.07,GOLD HEDGE,1.0,50.8,0.859,NORMAL
2025-01-29,1053210.16,0.08,GOLD HEDGE,1.0,50.8,0.859,NORMAL
2025-01-30,1073710.65,1.95,GOLD HEDGE,1.0,50.8,0.839,NORMAL
2025-01-31,1069717.04,-0.37,GOLD HEDGE,1.0,50.8,0.843,NORMAL
2025-02-03,1077856.37,0.76,GOLD HEDGE,1.0,50.5,0.843,NORMAL
2025-02-04,1085235.09,0.68,GOLD HEDGE,1.0,50.4,0.849,NORMAL
