date,nav,pnl_pct,action,target_lev,real_lev,liquidity_cap,slippage,borrow_cost,risk_prob,trauma_score,event
2023-01-03,10000000.0,0.0,DEPLOYING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WARMUP_COMPLETE
2023-01-03,10073706.57,0.74,GLD,1.0,1.0,13672655.0,10000.0,0.0,38.8,0.876,SCOUT_VETO
2023-01-04,10158445.64,0.84,GLD,1.0,1.0,13079062.0,10073.71,0.0,38.9,0.884,SCOUT_VETO
2023-01-05,10050809.44,-1.06,GLD,1.0,0.79,8001822.0,8001.82,0.0,38.7,0.878,SCOUT_VETO
2023-01-06,10228784.11,1.77,GLD,1.0,1.0,13703982.0,10050.81,0.0,38.3,0.871,SCOUT_VETO
2023-01-09,10239914.43,0.11,GLD,1.0,0.87,8939165.0,8939.16,0.0,38.4,0.859,SCOUT_VETO
2023-01-10,10260481.87,0.2,GLD,1.0,0.75,7685764.0,7685.76,0.0,38.4,0.85,SCOUT_VETO
2023-01-11,10250543.24,-0.1,GLD,1.0,0.57,5892028.0,5892.03,0.0,38.2,0.805,SCOUT_VETO
2023-01-12,11792192.36,15.04,NVDA,5.0,5.0,90952080.0,51252.72,40676.76,38.0,0.762,VICTORY_LEARNED
2023-01-13,13072000.95,10.85,NVDA,5.0,5.0,75511443.0,58960.96,46794.41,38.2,0.734,OPPORTUNITY_BOOST
2023-01-17,16060509.46,22.86,NVDA,5.0,5.0,90384789.0,65360.0,51873.02,38.9,0.71,VICTORY_LEARNED
2023-01-18,14526238.81,-9.55,NVDA,5.0,4.75,76317060.0,76317.06,56811.47,38.8,0.737,OPPORTUNITY_BOOST
2023-01-19,14704873.86,1.23,GLD,1.0,0.83,12014313.0,12014.31,0.0,39.6,0.812,SCOUT_VETO
2023-01-20,17469319.55,18.8,NVDA,3.0,3.0,100683669.0,44114.62,17505.8,40.1,0.73,VICTORY_LEARNED
2023-01-23,21373937.3,22.35,NVDA,3.0,3.0,125619678.0,52407.96,20796.81,40.5,0.649,VICTORY_LEARNED
2023-01-24,21524914.92,0.71,NVDA,3.0,3.0,95498098.0,64121.81,25445.16,40.3,0.666,OPPORTUNITY_BOOST
2023-01-25,21629131.18,0.48,NVDA,3.0,3.0,86777169.0,64574.74,25624.9,40.3,0.682,OPPORTUNITY_BOOST
2023-01-26,23146996.85,7.02,NVDA,3.0,3.0,96840783.0,64887.39,25748.97,40.3,0.672,OPPORTUNITY_BOOST
2023-01-27,25024309.67,8.11,NVDA,3.0,3.0,110296811.0,69440.99,27555.95,40.6,0.643,OPPORTUNITY_BOOST
2023-01-30,20484747.8,-18.14,NVDA,3.0,3.0,93534019.0,75072.93,29790.84,40.7,0.762,TRAUMA_LEARNED
2023-01-31,21601562.91,5.45,NVDA,3.0,3.0,97200287.0,61454.24,24386.6,41.4,0.75,OPPORTUNITY_BOOST
2023-02-01,26174778.4,21.17,NVDA,3.0,3.0,138185382.0,64804.69,25716.15,40.8,0.737,VICTORY_LEARNED
2023-02-02,28937136.17,10.55,NVDA,3.0,3.0,122376152.0,78524.34,31160.45,41.5,0.658,VICTORY_LEARNED
2023-02-03,26380573.54,-8.83,NVDA,3.0,3.0,90505619.0,86811.41,34448.97,40.5,0.767,OPPORTUNITY_BOOST
2023-02-06,26228770.52,-0.58,NVDA,3.0,3.0,95268454.0,79141.72,31405.44,40.3,0.772,OPPORTUNITY_BOOST
2023-02-07,30163431.98,15.0,NVDA,3.0,3.0,147114708.0,78686.31,31224.73,41.2,0.708,VICTORY_LEARNED
2023-02-08,30167624.72,0.01,NVDA,3.0,3.0,124146221.0,90490.3,35908.85,41.1,0.728,OPPORTUNITY_BOOST
2023-02-09,30579205.78,1.36,NVDA,3.0,3.0,116901144.0,90502.87,35913.84,40.3,0.77,OPPORTUNITY_BOOST
2023-02-10,30583878.47,0.02,GLD,1.0,0.17,5150699.0,5150.7,0.0,40.7,0.829,SCOUT_VETO
2023-02-13,30542263.78,-0.14,GLD,1.0,0.22,6848836.0,6848.84,0.0,40.6,0.811,SCOUT_VETO
2023-02-14,35389253.2,15.87,NVDA,3.0,3.0,155007966.0,91626.79,36359.84,40.7,0.77,VICTORY_LEARNED
2023-02-15,34399401.21,-2.8,NVDA,5.0,2.7,95643936.0,95643.94,32310.7,40.0,0.797,OPPORTUNITY_BOOST
2023-02-16,34385297.15,-0.04,GLD,1.0,0.23,7752733.0,7752.73,0.0,40.1,0.845,SCOUT_VETO
2023-02-17,34401662.87,0.05,GLD,1.0,0.24,8237263.0,8237.26,0.0,40.6,0.855,SCOUT_VETO
2023-02-21,34369043.61,-0.09,GLD,1.0,0.2,6886052.0,6886.05,0.0,41.0,0.85,SCOUT_VETO
