date,nav,pnl_pct,risk_prob,trauma_score,action,target_lev,real_lev,liquidity_cap,slippage,borrow_cost,event,pos_NVDA,pnl_NVDA,pos_QQQ,pnl_QQQ,pos_AMD,pnl_AMD,pos_TSLA,pnl_TSLA,pos_SMH,pnl_SMH,pos_XLE,pnl_XLE,pos_XOP,pnl_XOP,pos_XME,pnl_XME,pos_GLD,pnl_GLD,pos_SLV,pnl_SLV,pos_TLT,pnl_TLT
2023-01-03,9984218.51,-0.16,31.57,0.693,MULTI (GLD+TLT+QQQ),1.58,1.58,0.0,15781.49,0.0,NORMAL,0.0,-0.0,2230107.0,-2230.11,0.0,-0.0,0.0,-0.0,0.0,-0.0,1884719.0,-1884.72,1396348.0,-1396.35,1716959.0,-1716.96,4293789.0,-4293.79,1584666.0,-1584.67,2674905.0,-2674.9
2023-01-04,10105843.6,1.06,31.76,0.682,MULTI (GLD+TLT+QQQ),1.62,1.62,0.0,1527.91,0.0,NORMAL,0.0,0.0,2307063.0,10557.93,0.0,0.0,0.0,0.0,581454.0,-581.45,1907297.0,-246.08,1405362.0,4894.17,1800437.0,42253.74,4634700.0,40112.24,1241181.0,-11830.69,2532010.0,36465.24
2023-01-05,10028511.97,0.29,34.25,0.673,MULTI (GLD+TLT+QQQ),1.56,1.56,0.0,1862.67,0.0,NORMAL,0.0,-0.0,2403793.0,-36249.16,0.0,-0.0,0.0,-0.0,873811.0,-10721.06,1927781.0,34791.55,1419031.0,2062.67,1185964.0,9034.42,3985387.0,-58300.4,1364390.0,-28501.98,2508765.0,10552.32
2023-01-06,10404093.77,4.04,31.42,0.722,MULTI (GLD+TLT+QQQ),1.5,1.5,0.0,2332.95,0.0,NORMAL,0.0,0.0,2208439.0,66086.91,419324.0,-419.32,0.0,0.0,981822.0,38148.57,1907392.0,36510.88,884100.0,28494.5,1396526.0,53046.94,4002592.0,74499.26,947764.0,33356.37,2850964.0,45857.7
2023-01-09,10475249.58,4.75,31.76,0.725,MULTI (GLD+TLT+XLE),1.46,1.46,0.0,2547.22,0.0,NORMAL,296799.0,-296.8,1573543.0,13646.88,664267.0,21280.37,0.0,0.0,1364616.0,21021.85,1994298.0,-6847.04,693707.0,8805.73,1505764.0,-2224.34,3763681.0,8738.39,682686.0,-8040.05,2759361.0,15070.81
2023-01-10,10539820.29,5.4,35.61,0.685,MULTI (GLD+TLT+XLE),1.45,1.45,0.0,1557.03,0.0,NORMAL,190991.0,5225.46,1734396.0,13171.49,419736.0,7749.54,0.0,-0.0,1272267.0,17619.71,2010550.0,14169.49,478513.0,2131.38,1445267.0,37268.01,3747690.0,13805.63,999767.0,-631.43,2984726.0,-45938.57
2023-01-11,10646129.41,6.46,35.41,0.706,MULTI (GLD+TLT+XLE),1.47,1.47,0.0,1263.36,0.0,NORMAL,136653.0,1049.03,1916227.0,29853.54,306996.0,6110.73,0.0,0.0,1360982.0,14850.37,2131806.0,6062.74,351677.0,3601.27,1508329.0,7691.95,3835487.0,-2664.26,1275510.0,-8565.59,2845258.0,48319.35
2023-01-12,10886615.75,8.87,30.1,0.706,MULTI (GLD+TLT+QQQ),1.5,1.5,0.0,3495.88,0.0,NORMAL,431196.0,4065.33,2204724.0,10077.65,652529.0,7397.15,209153.0,-209.15,1027696.0,20030.82,1539161.0,39999.93,266788.0,10293.58,1056605.0,29745.61,4305351.0,43943.42,1532797.0,19294.41,3054433.0,55847.58
2023-01-13,10985832.8,9.86,32.96,0.707,MULTI (GLD+TLT+QQQ),1.44,1.44,0.0,1962.94,0.0,NORMAL,587397.0,9986.94,2179317.0,15129.42,446329.0,1635.23,383874.0,-2140.24,688824.0,3357.51,1743206.0,2026.16,176138.0,1315.62,763399.0,13786.05,4422305.0,51606.61,1673565.0,31415.42,2752510.0,-28901.67
2023-01-17,10977481.63,9.77,32.43,0.706,MULTI (GLD+QQQ+SLV),1.51,1.51,0.0,3048.21,0.0,NORMAL,748818.0,27778.1,2522826.0,4081.83,329942.0,3588.81,454863.0,28465.8,547983.0,3943.03,1916456.0,3512.91,128349.0,787.17,1141841.0,-8126.15,4804978.0,-29355.95,2078150.0,-24411.56,1911175.0,-18615.15
