nav,nav_west,nav_east,cash_west,cash_east,pnl_pct,pos_NVDA,pos_QQQ,pos_IBIT,pos_XLE,pos_600519.SS,pos_601899.SS,pos_300750.SZ,date,risk_prob,action,event,scout_action_NVDA,scout_expl_NVDA,scout_action_XLE,scout_expl_XLE,scout_action_QQQ,scout_expl_QQQ,scout_action_601899.SS,scout_expl_601899.SS,scout_action_600519.SS,scout_expl_600519.SS,scout_action_300750.SZ,scout_expl_300750.SZ,veto_log
10000000.0,5000000.0,5000000.0,306883.67,-726.24,0.0,0.0,12221.864932334547,0.0,39691.313211319655,1178.8878445932178,244561.92780696793,3578.1449128803465,2023-01-03,0.0,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
9936520.7,5010258.65,4926262.05,1362170.32,-246.87,0.0,0.0,9515.680483266515,0.0,30511.55967355505,1020.2456665913463,270042.78965959506,3578.1449128803465,2023-01-04,88.8,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10054189.73,4991544.0,5062645.73,1608418.54,-117.58,0.0,0.0,7822.40000514228,0.0,35360.355558482304,947.9385634193025,282073.3264558382,3578.1449128803465,2023-01-05,89.1,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10164890.41,5072434.22,5092456.19,1799399.06,51876.58,0.0,0.0,7428.099633010162,0.0,33159.21412043515,947.9385634193025,282073.3264558382,3338.3462373445427,2023-01-06,89.5,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10472712.64,5080296.06,5392416.58,1888461.58,199116.16,0.0,0.0,7326.120127775965,0.0,31584.823623475866,979.0482955601065,282073.3264558382,2419.644613916054,2023-01-09,85.3,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10520896.43,5105532.11,5415364.32,2077555.62,-199.12,0.0,0.0,6893.04488159943,0.0,29740.14848747583,1097.602597968235,282073.3264558382,2419.644613916054,2023-01-10,84.3,SWARM_ACTIVE,DEFENSIVE,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10562658.21,5140928.28,5421729.93,2311409.36,-199.12,0.0,0.0,6397.133784214033,0.0,27256.500427474086,1097.602597968235,282073.3264558382,2419.644613916054,2023-01-11,82.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10570185.72,5170805.09,5399380.63,2143685.11,-49.09,0.0,0.0,7378.384632917075,0.0,24752.03482671701,1067.9008863259176,286642.87570150546,2419.644613916054,2023-01-12,61.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10678959.91,5185803.37,5493156.54,1830277.11,-107.3,0.0,0.0,8739.104313415932,0.0,23211.867876157383,1005.0259507862282,296518.9788617218,2419.644613916054,2023-01-13,62.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10699711.85,5185365.24,5514346.61,1894114.76,-107.3,0.0,0.0,8237.893875426584,0.0,25039.992514699097,1005.0259507862282,296518.9788617218,2419.644613916054,2023-01-16,58.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10639153.52,5191913.93,5447239.59,2136952.5,-107.3,0.0,0.0,7937.102741987491,0.0,21113.085018520018,1005.0259507862282,296518.9788617218,2419.644613916054,2023-01-17,58.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10612519.52,5147399.43,5465120.09,2016394.41,-107.3,0.0,0.0,8942.238220020672,0.0,17254.68003446833,1005.0259507862282,296518.9788617218,2419.644613916054,2023-01-18,61.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10635856.37,5131564.73,5504291.63,2217938.33,-107.3,0.0,0.0,8293.359886290695,0.0,16603.108592334112,1005.0259507862282,296518.9788617218,2419.644613916054,2023-01-19,68.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
