nav,nav_west,nav_east,cash_west,cash_east,pnl_pct,pos_NVDA,pos_QQQ,pos_IBIT,pos_XLE,pos_600519.SS,pos_601899.SS,pos_300750.SZ,date,risk_prob,action,event,scout_action_QQQ,scout_expl_QQQ,scout_action_XLE,scout_expl_XLE,scout_action_NVDA,scout_expl_NVDA,scout_action_601899.SS,scout_expl_601899.SS,scout_action_300750.SZ,scout_expl_300750.SZ,scout_action_600519.SS,scout_expl_600519.SS,veto_log
10000000.0,5000000.0,5000000.0,194607.86,-1402.43,0.0,106035.98522603563,6408.423727615398,0.0,42473.854161357114,1059.102585239926,195311.3199027136,6909.645660319066,2023-01-03,0.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
9976600.79,5048912.41,4927688.38,683769.77,-143.42,0.0,93353.1939477692,5798.215942275168,0.0,38709.60814928281,966.313373325329,210114.07407187368,6909.645660319066,2023-01-04,50.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10102795.72,5006520.25,5096275.47,809406.29,65661.91,0.0,92757.2544813195,5657.593848635847,0.0,36619.31963330108,887.5420907372761,223232.97212155804,6599.406602711096,2023-01-05,51.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10266558.42,5128524.82,5138033.6,979140.62,50390.9,0.0,87801.8401836162,5444.860515641386,0.0,35603.574005525625,873.0042599621997,232344.06544627817,6366.589942591916,2023-01-06,50.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10588129.68,5200127.24,5388002.44,996471.13,-63.73,0.0,84544.67326616962,5481.555108721827,0.0,36204.543772251476,864.9964604150875,238266.50724105307,6366.589942591916,2023-01-09,51.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10688900.44,5246246.2,5442654.23,1041572.96,40936.77,0.0,82922.54723284332,5437.09123025426,0.0,36016.84748967985,856.9084972722943,239524.97194339632,6184.432398500236,2023-01-10,50.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10723325.1,5283424.02,5439901.08,1088404.47,-41.85,0.0,82160.97478071008,5329.166294644288,0.0,35884.21787545111,856.3602320513924,243397.3078202081,6184.432398500236,2023-01-11,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10793829.68,5360321.5,5433508.18,1152524.92,13254.37,0.0,79787.52467919119,5311.99405303529,0.0,35383.18242211008,856.3602320513924,243397.3078202081,6125.49196319882,2023-01-12,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10926790.51,5403280.66,5523509.85,1159134.68,3474.08,0.0,78526.15364123503,5321.527820058562,0.0,35678.94857739954,845.0578834055199,246393.42528293765,6110.15974884963,2023-01-13,51.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10959944.25,5403244.72,5556699.53,1156632.28,20250.92,0.0,78499.09893001556,5324.819215720422,0.0,35729.33527351202,832.4483956578408,248730.02855303942,6022.9202412231625,2023-01-16,51.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
