Date,NAV,Strategy_Return,SPY_Return,Regime,DDH_State,SMA_Lookback,Swarm_Alerts,VIX,Top1,Top2,Top3,EQUITY_Stressed,SPY_Weight,XLK_Weight,XLV_Weight,GLD_Weight,BIL_Weight,TLT_Weight,MTUM_Weight,EEM_Weight
2022-01-03,2.348015,0.006121,0.00579,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,16.6,XLE:0.23,XLF:0.17,EFA:0.12,False,0.0,0.0,0.0,0.0693,0.0,0.0603,0.0,0.0
2022-01-04,2.378278,0.012889,-0.000335,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,16.91,XLE:0.22,XLF:0.18,HYG:0.15,False,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0
2022-01-05,2.34106,-0.015649,-0.019202,GOLDILOCKS,NORMAL_TRENDING,100,0,19.73,XLK:0.23,XLE:0.22,EFA:0.15,False,0.0,0.2305,0.0,0.0231,0.0,0.0,0.0,0.0
2022-01-06,2.348247,0.00307,-0.000939,GOLDILOCKS,NORMAL_TRENDING,100,0,19.61,XLK:0.25,XLE:0.25,EFA:0.17,False,0.0,0.2511,0.0,0.0253,0.0,0.0,0.0,0.0
2022-01-07,2.347831,-0.000177,-0.003953,GOLDILOCKS,NORMAL_TRENDING,100,0,18.76,XLE:0.26,XLK:0.24,EFA:0.17,False,0.0,0.2437,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,2.340049,-0.003315,-0.001244,GOLDILOCKS,NORMAL_TRENDING,100,0,19.4,XLK:0.25,XLE:0.25,EFA:0.17,False,0.0,0.2506,0.0,0.0243,0.0,0.0,0.0,0.0
2022-01-11,2.377649,0.016068,0.009108,GOLDILOCKS,NORMAL_TRENDING,100,0,18.41,XLK:0.33,USMV:0.29,XLE:0.27,False,0.0,0.3282,0.0,0.0304,0.0,0.0,0.0,0.0
2022-01-12,2.391091,0.005654,0.002704,GOLDILOCKS,NORMAL_TRENDING,100,0,17.62,XLK:0.27,XLE:0.23,IWF:0.14,False,0.0,0.2692,0.0,0.0246,0.0,0.0,0.0,0.0857
2022-01-13,2.355853,-0.014738,-0.013778,GOLDILOCKS,NORMAL_TRENDING,100,0,20.31,XLK:0.25,XLF:0.20,IWF:0.12,False,0.0,0.2523,0.0,0.0227,0.0,0.0,0.0,0.0767
2022-01-14,2.372313,0.006987,0.000409,GOLDILOCKS,NORMAL_TRENDING,100,0,19.19,XLK:0.28,USMV:0.24,XLE:0.22,False,0.0,0.2769,0.0,0.0258,0.0,0.0,0.0,0.0852
2022-01-18,2.333221,-0.016478,-0.017709,GOLDILOCKS,NORMAL_TRENDING,100,0,22.79,XLK:0.27,USMV:0.24,XLF:0.23,False,0.0,0.2664,0.0,0.0237,0.0,0.0,0.0,0.0833
2022-01-19,2.313083,-0.008631,-0.010384,GOLDILOCKS,NORMAL_TRENDING,100,0,23.85,XLF:0.45,XLE:0.40,DJP:0.11,False,0.0,0.0,0.0,0.0401,0.0,0.0,0.0,0.0
2022-01-20,2.298021,-0.006512,-0.011068,GOLDILOCKS,NORMAL_TRENDING,100,0,25.59,XLF:0.44,XLE:0.41,DJP:0.11,False,0.0,0.0,0.0,0.0422,0.0,0.0,0.0,0.0
2022-01-21,2.25756,-0.017607,-0.019631,GOLDILOCKS,NORMAL_TRENDING,100,0,28.85,XLF:0.44,XLE:0.41,DJP:0.11,False,0.0,0.0,0.0,0.0399,0.0,0.0,0.0,0.0
2022-01-24,2.258181,0.000275,0.004247,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,29.9,XLE:0.40,DJP:0.27,XLU:0.23,False,0.0,0.0,0.0,0.1006,0.0,0.0,0.0,0.0
2022-01-25,2.291944,0.014951,-0.012209,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,31.16,XLE:0.41,DJP:0.27,XLU:0.22,False,0.0,0.0,0.0,0.1049,0.0,0.0,0.0,0.0
2022-01-26,2.288597,-0.00146,-0.002509,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,31.96,XLE:0.62,DJP:0.27,GLD:0.11,False,0.0,0.0,0.0,0.1062,0.0,0.0,0.0,0.0
2022-01-27,2.304206,0.00682,-0.004938,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,30.49,XLE:0.62,DJP:0.27,GLD:0.10,False,0.0,0.0,0.0,0.1016,0.0,0.0,0.0,0.0
2022-01-28,2.30559,0.000601,0.024835,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,27.66,XLE:0.62,DJP:0.38,SPY:0.00,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,2.326031,0.008866,0.018011,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,24.83,XLE:0.41,DJP:0.38,XLU:0.21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2.36976,0.0188,0.006757,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,100,0,21.96,XLE:0.33,XLF:0.29,DJP:0.27,False,0.0,0.0,0.0,0.1035,0.0,0.0,0.0,0.0
2022-02-02,2.383296,0.005712,0.009714,GOLDILOCKS,NORMAL_TRENDING,100,0,22.09,XLE:0.43,XLF:0.41,DJP:0.11,False,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0
2022-02-03,2.358973,-0.010206,-0.023505,GOLDILOCKS,NORMAL_TRENDING,100,0,24.35,XLE:0.35,USMV:0.29,XLF:0.25,False,0.0,0.0,0.0,0.0291,0.0,0.0,0.0,0.0
2022-02-04,2.391885,0.013952,0.004702,GOLDILOCKS,NORMAL_TRENDING,100,0,23.22,XLE:0.47,XLF:0.38,DJP:0.11,False,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,0.0
2022-02-07,2.409263,0.007265,-0.003209,GOLDILOCKS,NORMAL_TRENDING,100,0,22.86,XLE:0.45,XLF:0.40,DJP:0.11,False,0.0,0.0,0.0,0.0406,0.0,0.0,0.0,0.0
2022-02-08,2.399168,-0.00419,0.008228,GOLDILOCKS,NORMAL_TRENDING,100,0,21.44,XLE:0.44,XLF:0.41,DJP:0.11,False,0.0,0.0,0.0,0.0442,0.0,0.0,0.0,0.0
2022-02-09,2.416993,0.007429,0.014636,GOLDILOCKS,NORMAL_TRENDING,100,0,19.96,XLE:0.44,XLF:0.41,DJP:0.11,False,0.0,0.0,0.0,0.0449,0.0,0.0,0.0,0.0
2022-02-10,2.398176,-0.007785,-0.017966,GOLDILOCKS,NORMAL_TRENDING,100,0,23.91,XLE:0.38,XLF:0.28,EEM:0.11,False,0.0,0.0,0.0,0.0353,0.0,0.0,0.0,0.1145
2022-02-11,2.416623,0.007692,-0.019719,GOLDILOCKS,NORMAL_TRENDING,100,0,27.36,XLF:0.45,XLE:0.40,DJP:0.11,False,0.0,0.0,0.0,0.0398,0.0,0.0,0.0,0.0
2022-02-14,2.383507,-0.013703,-0.003269,GOLDILOCKS,NORMAL_TRENDING,100,0,28.33,XLF:0.44,XLE:0.41,DJP:0.10,False,0.0,0.0,0.0,0.0468,0.0,0.0,0.0,0.0
2022-02-15,2.383542,1.4e-05,0.016127,GOLDILOCKS,NORMAL_TRENDING,100,0,25.7,XLF:0.44,XLE:0.41,DJP:0.10,False,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0
2022-02-16,2.395984,0.00522,0.001121,GOLDILOCKS,NORMAL_TRENDING,100,0,24.29,XLE:0.44,XLF:0.41,DJP:0.10,False,0.0,0.0,0.0,0.0462,0.0,0.0,0.0,0.0
2022-02-17,2.37238,-0.009851,-0.021361,GOLDILOCKS,NORMAL_TRENDING,100,0,28.11,XLE:0.35,XLF:0.31,EEM:0.22,False,0.0,0.0,0.0,0.0349,0.0,0.0,0.0,0.2206
2022-02-18,2.360569,-0.004978,-0.006475,GOLDILOCKS,NORMAL_TRENDING,100,0,27.75,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.0438,0.0,0.0,0.0,0.0
2022-02-22,2.332513,-0.011885,-0.010732,GOLDILOCKS,NORMAL_TRENDING,100,0,28.81,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0
2022-02-23,2.355635,0.009913,-0.017739,GOLDILOCKS,NORMAL_TRENDING,100,0,31.02,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.0435,0.0,0.0,0.0,0.0
2022-02-24,2.34214,-0.005729,0.015049,GOLDILOCKS,NORMAL_TRENDING,100,0,30.32,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0
2022-02-25,2.388013,0.019586,0.022064,GOLDILOCKS,NORMAL_TRENDING,100,0,27.59,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0
2022-02-28,2.418104,0.012601,-0.002559,GOLDILOCKS,NORMAL_TRENDING,100,3,30.15,XLU:0.58,XLE:0.27,DJP:0.11,True,0.0,0.0,0.0,0.0414,0.0,0.0,0.0,0.0
2022-03-01,2.440189,0.009133,-0.01523,GOLDILOCKS,NORMAL_TRENDING,100,0,33.32,XLE:0.56,XLU:0.29,DJP:0.11,False,0.0,0.0,0.0,0.0416,0.0,0.0,0.0,0.0
2022-03-02,2.493988,0.022047,0.018396,GOLDILOCKS,NORMAL_TRENDING,100,0,30.74,XLE:0.85,DJP:0.11,GLD:0.04,False,0.0,0.0,0.0,0.0402,0.0,0.0,0.0,0.0
2022-03-03,2.515701,0.008706,-0.004978,GOLDILOCKS,NORMAL_TRENDING,100,0,30.48,XLE:0.54,XLU:0.31,DJP:0.11,False,0.0,0.0,0.0,0.0395,0.0,0.0,0.0,0.0
2022-03-04,2.580314,0.025684,-0.008125,GOLDILOCKS,NORMAL_TRENDING,100,1,31.98,XLE:0.53,XLU:0.32,DJP:0.11,False,0.0,0.0,0.0,0.0388,0.0,0.0,0.0,0.0
2022-03-07,2.605225,0.009655,-0.029479,CRISIS_MODE,FAST_SHOCK,100,5,36.45,BIL:0.62,DJP:0.20,GLD:0.12,True,0.0,0.0,0.0301,0.123,0.6237,0.0,0.0,0.0
2022-03-08,2.620764,0.005965,-0.007582,CRISIS_MODE,FAST_SHOCK,100,0,35.13,BIL:0.62,DJP:0.20,GLD:0.12,False,0.0,0.0,0.0,0.1198,0.6237,0.0,0.0,0.0
2022-03-09,2.530319,-0.034511,0.026811,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,32.45,XLE:0.58,DJP:0.17,XLU:0.17,False,0.0,0.0,0.0,0.0725,0.0,0.0,0.0,0.0
2022-03-10,2.572915,0.016834,-0.004515,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,30.23,XLE:0.58,XLU:0.18,DJP:0.17,False,0.0,0.0,0.0,0.0788,0.0,0.0,0.0,0.0
2022-03-11,2.564019,-0.003458,-0.012715,RECOVERY_GROWTH,RECOVERY_ACCEL,100,3,30.75,XLE:0.58,XLU:0.17,DJP:0.15,False,0.0,0.0,0.0,0.0942,0.0,0.0,0.0,0.0
2022-03-14,2.502917,-0.02383,-0.007309,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,31.77,XLE:0.59,DJP:0.17,XLU:0.17,False,0.0,0.0,0.0,0.0774,0.0,0.0,0.0,0.0
2022-03-15,2.475892,-0.010797,0.021991,RECOVERY_GROWTH,RECOVERY_ACCEL,100,2,29.83,XLU:0.45,XLE:0.30,DJP:0.15,True,0.0,0.0,0.0,0.0967,0.0,0.0,0.0,0.0
2022-03-16,2.469572,-0.002553,0.022174,RECOVERY_GROWTH,RECOVERY_ACCEL,100,1,26.67,XLE:0.60,DJP:0.17,XLU:0.16,False,0.0,0.0,0.0,0.0773,0.0,0.0,0.0,0.0
2022-03-17,2.542255,0.029431,0.012511,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,25.67,XLE:0.61,DJP:0.17,XLV:0.14,False,0.0,0.0,0.1435,0.0754,0.0,0.0,0.0,0.0
2022-03-18,2.542051,-8e-05,0.010953,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,23.87,XLE:0.62,DJP:0.17,XLV:0.14,False,0.0,0.0,0.1394,0.0776,0.0,0.0,0.0,0.0
2022-03-21,2.62075,0.030959,-0.000293,RECOVERY_GROWTH,RECOVERY_ACCEL,100,0,23.53,XLE:0.62,DJP:0.17,XLV:0.13,False,0.0,0.0,0.131,0.0787,0.0,0.0,0.0,0.0
2022-03-22,2.606878,-0.005293,0.011702,GOLDILOCKS,NORMAL_TRENDING,100,0,22.94,XLE:0.65,XLV:0.20,DJP:0.11,False,0.0,0.0,0.2012,0.037,0.0,0.0,0.0,0.0
2022-03-23,2.610553,0.00141,-0.012879,GOLDILOCKS,NORMAL_TRENDING,100,0,23.57,XLE:0.38,USMV:0.29,XLF:0.22,False,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
2022-03-24,2.623565,0.004984,0.015075,GOLDILOCKS,NORMAL_TRENDING,100,0,21.67,XLE:0.63,XLV:0.21,DJP:0.12,False,0.0,0.0,0.2145,0.0345,0.0,0.0,0.0,0.0
2022-03-25,2.665439,0.015961,0.004884,GOLDILOCKS,NORMAL_TRENDING,100,0,20.81,XLE:0.55,XLF:0.30,DJP:0.12,False,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0
2022-03-28,2.633826,-0.01186,0.007113,GOLDILOCKS,NORMAL_TRENDING,100,0,19.63,XLE:0.40,USMV:0.29,XLF:0.20,False,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,0.0
2022-03-29,2.639135,0.002016,0.012371,GOLDILOCKS,NORMAL_TRENDING,100,0,18.9,XLE:0.41,USMV:0.29,XLF:0.19,False,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.0
2022-03-30,2.640352,0.000461,-0.006175,GOLDILOCKS,NORMAL_TRENDING,100,0,19.33,XLE:0.40,XLK:0.20,IWF:0.16,False,0.0,0.2005,0.0,0.0261,0.0,0.0,0.1379,0.0
2022-03-31,2.603797,-0.013845,-0.015392,GOLDILOCKS,NORMAL_TRENDING,100,0,20.56,XLE:0.41,USMV:0.29,XLF:0.19,False,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0
2022-04-01,2.61904,0.005854,0.002834,GOLDILOCKS,NORMAL_TRENDING,100,0,19.63,XLE:0.43,USMV:0.29,SPY:0.17,False,0.1654,0.0,0.0,0.0247,0.0,0.0,0.0,0.0
2022-04-04,2.628427,0.003584,0.008567,GOLDILOCKS,NORMAL_TRENDING,100,0,18.57,XLE:0.44,USMV:0.29,SPY:0.16,False,0.1615,0.0,0.0,0.0255,0.0,0.0,0.0,0.0
2022-04-05,2.59845,-0.011405,-0.012631,GOLDILOCKS,NORMAL_TRENDING,100,0,21.03,XLE:0.41,USMV:0.29,XLK:0.19,False,0.0,0.1902,0.0,0.0262,0.0,0.0,0.0,0.0
2022-04-06,2.613542,0.005808,-0.009999,GOLDILOCKS,NORMAL_TRENDING,100,0,22.1,XLE:0.45,USMV:0.29,XLV:0.15,False,0.0,0.0,0.1474,0.0272,0.0,0.0,0.0,0.0
2022-04-07,2.643189,0.011344,0.005039,GOLDILOCKS,NORMAL_TRENDING,100,0,21.55,XLE:0.46,USMV:0.29,XLV:0.14,False,0.0,0.0,0.1397,0.0276,0.0,0.0,0.0,0.0
2022-04-08,2.683577,0.01528,-0.002674,GOLDILOCKS,NORMAL_TRENDING,100,0,21.16,XLE:0.46,USMV:0.29,XLV:0.14,False,0.0,0.0,0.1358,0.029,0.0,0.0,0.0,0.0
2022-04-11,2.62922,-0.020256,-0.017092,GOLDILOCKS,NORMAL_TRENDING,100,0,24.37,XLE:0.46,USMV:0.29,XLV:0.14,False,0.0,0.0,0.1355,0.0289,0.0,0.0,0.0,0.0
2022-04-12,2.646523,0.006581,-0.003705,GOLDILOCKS,NORMAL_TRENDING,100,0,24.26,XLE:0.46,USMV:0.29,XLV:0.14,False,0.0,0.0,0.1406,0.0294,0.0,0.0,0.0,0.0
2022-04-13,2.677296,0.011628,0.011453,GOLDILOCKS,NORMAL_TRENDING,100,0,21.82,XLE:0.46,USMV:0.29,XLV:0.14,False,0.0,0.0,0.1383,0.0285,0.0,0.0,0.0,0.0
2022-04-14,2.675964,-0.000497,-0.012452,GOLDILOCKS,NORMAL_TRENDING,100,0,22.7,XLE:0.47,USMV:0.29,XLV:0.13,False,0.0,0.0,0.1338,0.0274,0.0,0.0,0.0,0.0
