Date,Ticker,Signal,Pain_Score,Sobel_Mag,Next_5d_Return,Verdict
2016-02-08,GLD,VISUAL BREAK (Sobel: 2.62 > 2.5),0.0,2.62,3.98,NOISE
2016-02-11,GLD,VISUAL BREAK (Sobel: 2.86 > 2.5),0.02,2.86,-0.65,NOISE
2016-02-12,GLD,VISUAL BREAK (Sobel: 2.54 > 2.5),0.0,2.54,-0.66,NOISE
2016-02-15,GLD,VISUAL BREAK (Sobel: 2.54 > 2.5),0.0,2.54,-2.42,GOOD_SAVE
2016-02-16,GLD,VISUAL BREAK (Sobel: 2.63 > 2.5),-0.0,2.63,2.13,NOISE
2016-06-16,601899.SS,VISUAL BREAK (Sobel: 2.57 > 2.5),-0.01,2.57,-6.03,GOOD_SAVE
2016-07-11,601899.SS,VISUAL BREAK (Sobel: 2.70 > 2.5),0.01,2.7,-5.43,GOOD_SAVE
2016-11-15,NVDA,VISUAL BREAK (Sobel: 2.88 > 2.5),0.01,2.88,8.66,MISSED_RALLY
2016-11-16,NVDA,VISUAL BREAK (Sobel: 3.08 > 2.5),0.01,3.08,2.71,NOISE
2016-11-17,NVDA,VISUAL BREAK (Sobel: 2.99 > 2.5),0.01,2.99,1.86,NOISE
2016-11-18,NVDA,VISUAL BREAK (Sobel: 3.03 > 2.5),-0.0,3.03,1.01,NOISE
2016-11-21,NVDA,VISUAL BREAK (Sobel: 2.97 > 2.5),-0.01,2.97,1.37,NOISE
2016-11-22,NVDA,VISUAL BREAK (Sobel: 2.90 > 2.5),0.0,2.9,-0.28,NOISE
2016-11-23,NVDA,VISUAL BREAK (Sobel: 3.00 > 2.5),0.0,3.0,-1.88,GOOD_SAVE
2016-11-24,NVDA,VISUAL BREAK (Sobel: 3.00 > 2.5),0.0,3.0,-6.74,GOOD_SAVE
2016-11-25,NVDA,VISUAL BREAK (Sobel: 2.95 > 2.5),0.01,2.95,-6.06,GOOD_SAVE
2016-11-28,NVDA,VISUAL BREAK (Sobel: 3.05 > 2.5),0.01,3.05,-2.37,GOOD_SAVE
2016-11-29,NVDA,VISUAL BREAK (Sobel: 3.43 > 2.5),0.0,3.43,0.15,NOISE
2016-11-30,NVDA,VISUAL BREAK (Sobel: 3.47 > 2.5),-0.01,3.47,3.11,NOISE
2016-12-01,NVDA,VISUAL BREAK (Sobel: 4.10 > 2.5),0.01,4.1,6.66,MISSED_RALLY
2016-12-02,NVDA,VISUAL BREAK (Sobel: 3.13 > 2.5),-0.0,3.13,3.81,NOISE
2016-12-05,NVDA,VISUAL BREAK (Sobel: 2.98 > 2.5),0.01,2.98,-2.49,GOOD_SAVE
2016-12-06,NVDA,VISUAL BREAK (Sobel: 3.11 > 2.5),-0.01,3.11,-2.38,GOOD_SAVE
2016-12-07,NVDA,VISUAL BREAK (Sobel: 3.09 > 2.5),0.0,3.09,1.45,NOISE
2016-12-08,NVDA,VISUAL BREAK (Sobel: 3.12 > 2.5),0.0,3.12,5.59,MISSED_RALLY
2016-12-09,NVDA,VISUAL BREAK (Sobel: 3.07 > 2.5),0.0,3.07,9.36,MISSED_RALLY
2016-12-29,NVDA,VISUAL BREAK (Sobel: 2.55 > 2.5),0.01,2.55,-7.48,GOOD_SAVE
2016-12-30,NVDA,VISUAL BREAK (Sobel: 3.09 > 2.5),0.01,3.09,0.51,NOISE
2017-05-03,ARKK,VISUAL BREAK (Sobel: 2.71 > 2.5),0.0,2.71,3.63,NOISE
2017-05-04,ARKK,VISUAL BREAK (Sobel: 2.68 > 2.5),0.01,2.68,4.19,NOISE
2017-05-08,ARKK,VISUAL BREAK (Sobel: 2.60 > 2.5),0.01,2.6,4.9,NOISE
2017-05-09,ARKK,VISUAL BREAK (Sobel: 2.80 > 2.5),0.01,2.8,3.06,NOISE
2017-05-10,ARKK,VISUAL BREAK (Sobel: 2.66 > 2.5),0.01,2.66,-1.5,GOOD_SAVE
2017-05-11,ARKK,VISUAL BREAK (Sobel: 2.66 > 2.5),0.01,2.66,1.17,NOISE
2017-05-12,ARKK,VISUAL BREAK (Sobel: 2.54 > 2.5),0.0,2.54,0.82,NOISE
2017-06-19,ARKK,VISUAL BREAK (Sobel: 2.50 > 2.5),0.0,2.5,1.81,NOISE
2017-06-26,ARKK,VISUAL BREAK (Sobel: 2.52 > 2.5),0.0,2.52,-3.52,GOOD_SAVE
2017-12-28,601899.SS,VISUAL BREAK (Sobel: 2.59 > 2.5),0.02,2.59,-1.28,GOOD_SAVE
2020-01-07,601899.SS,VISUAL BREAK (Sobel: 2.62 > 2.5),-0.01,2.62,1.5,NOISE
2020-03-10,XLRE,VISUAL BREAK (Sobel: 3.26 > 2.5),-0.01,3.26,-16.15,GOOD_SAVE
2020-03-13,XLRE,VISUAL BREAK (Sobel: 3.66 > 2.5),0.0,3.66,-23.08,GOOD_SAVE
2020-03-13,QQQ,VISUAL BREAK (Sobel: 2.90 > 2.5),0.0,2.9,-11.25,GOOD_SAVE
2020-03-17,XLRE,VISUAL BREAK (Sobel: 3.58 > 2.5),0.01,3.58,-11.36,GOOD_SAVE
2020-03-17,QQQ,VISUAL BREAK (Sobel: 3.21 > 2.5),0.01,3.21,1.05,NOISE
2020-03-17,XLV,VISUAL BREAK (Sobel: 2.56 > 2.5),0.01,2.56,-7.01,GOOD_SAVE
2020-03-19,QQQ,VISUAL BREAK (Sobel: 3.19 > 2.5),0.01,3.19,8.25,MISSED_RALLY
2020-04-06,XLRE,VISUAL BREAK (Sobel: 3.25 > 2.5),0.02,3.25,7.89,MISSED_RALLY
2020-04-14,XLRE,VISUAL BREAK (Sobel: 2.56 > 2.5),0.0,2.56,-6.45,GOOD_SAVE
2020-07-09,601899.SS,VISUAL BREAK (Sobel: 2.64 > 2.5),0.01,2.64,-11.4,GOOD_SAVE
2020-07-30,SLV,VISUAL BREAK (Sobel: 2.60 > 2.5),0.01,2.6,23.53,MISSED_RALLY
2020-07-30,PSLV,VISUAL BREAK (Sobel: 2.91 > 2.5),-0.0,2.91,22.24,MISSED_RALLY
2020-08-06,PSLV,VISUAL BREAK (Sobel: 2.73 > 2.5),0.0,2.73,-7.0,GOOD_SAVE
2020-08-07,SLV,VISUAL BREAK (Sobel: 2.83 > 2.5),-0.0,2.83,-6.15,GOOD_SAVE
2020-08-07,PSLV,VISUAL BREAK (Sobel: 2.97 > 2.5),-0.0,2.97,-7.37,GOOD_SAVE
2020-08-12,SLV,VISUAL BREAK (Sobel: 2.65 > 2.5),-0.0,2.65,6.23,MISSED_RALLY
2020-08-12,PSLV,VISUAL BREAK (Sobel: 2.86 > 2.5),0.01,2.86,6.05,MISSED_RALLY
2020-08-13,SLV,VISUAL BREAK (Sobel: 2.75 > 2.5),-0.01,2.75,0.63,NOISE
2020-08-13,PSLV,VISUAL BREAK (Sobel: 2.96 > 2.5),0.01,2.96,1.26,NOISE
2020-08-17,PSLV,VISUAL BREAK (Sobel: 2.62 > 2.5),0.01,2.62,-4.05,GOOD_SAVE
