date,combined_nav,swarm_alpha,swarm_beta,swarm_gamma,swarm_delta,swarm_epsilon,ew_benchmark,btc_benchmark
2018-04-10,101564.54393032775,20421.049591592073,20779.096102747782,20330.364150857964,20439.52751217095,19594.506572958988,101963.65627094252,100945.6851084145
2018-04-11,107477.22699906312,21120.3965314432,21650.648841637714,23030.18947598904,21899.356416449704,19776.63573354346,108431.75670625552,102918.29454608262
2018-04-12,122328.90860615761,24364.399922124925,24017.22882633093,25124.728995033114,24834.06904007934,23988.481822589303,122861.02730339188,116519.93245569973
2018-04-13,121882.85520429519,24305.99079187673,23871.15864256296,24958.716300849737,24624.632039977438,24122.357429028314,122295.60566825712,116619.03492998029
2018-04-14,123475.06155431175,24361.06329675991,24056.465554216662,25286.75042326586,25115.107556097737,24655.674723971577,123800.4852933503,117952.4254757254
2018-04-15,131969.7007360774,25526.1808990095,25606.26045152545,26901.71733582186,27174.526545733792,26761.01550398679,132079.29003018796,123016.43065945838
2018-04-16,128122.46850110762,25673.721790729644,24910.741380843934,25991.613893615464,26300.934665536683,25245.45677038191,128684.08138005045,119022.17257402845
2018-04-17,128925.92044190012,24890.604164750763,25090.229593707063,26700.181673947587,26471.442291116608,25773.462718378094,129520.02749672378,116709.56996579151
2018-04-18,141657.98394754133,25930.4248007897,27280.92170923895,29663.54068391146,29912.495443945907,28870.601309655314,142975.36023717307,120569.27311270253
2018-04-19,148017.40404443484,26903.698662800238,29554.38131055742,30923.58387336491,31127.147719940964,29508.59247777132,149818.60530625546,122502.4420444879
2018-04-20,159350.3965206429,28752.02857154473,32451.543136979257,34292.623382199185,33347.21648833113,30506.98494158862,161934.49219688965,130648.10003710388
2018-04-21,154819.831039959,28876.529099210074,32015.59370009801,33284.854092923306,31531.02196437985,29111.83218334779,157766.64627842547,131382.88048387272
2018-04-22,154936.30286203386,28600.80587600199,32306.841149307445,33158.23515659536,32228.24804944452,28642.172630684556,158254.24789538875,130007.54699020041
2018-04-23,160871.63528517692,29403.07182974183,34081.31757775072,34917.38772051788,33246.105979409665,29223.752177756818,165070.06789384515,131904.23940365433
2018-04-24,177074.98052368962,32290.475094830716,36136.99808343878,41327.792575821724,35257.052020886,32062.66274871237,181964.58497118703,143226.8016591118
2018-04-25,155363.9570732945,28416.23736099231,31073.670689026418,37002.72937133241,30640.122216341042,28231.19743560234,159507.1713439243,130646.77309377193
2018-04-26,163198.4617565168,29760.08711749098,32613.351803882313,39483.798185936925,32060.13537349378,29281.089275712817,173055.42189364915,137082.85210603572
2018-04-27,159505.61105052306,29223.565278844577,31330.700309064978,39928.42204273751,30831.23922683782,28191.68419303817,167299.55005506135,132733.83860546906
2018-04-28,167207.03934148146,31212.917935702477,32320.760241582237,43344.20654439666,31420.696504432595,28908.458115367488,178642.7144792495,138071.97297362587
2018-04-29,172685.6162092941,31384.071578355837,32925.78448925721,46663.51342680136,32416.128589472104,29296.118125407607,185441.10550122795,139114.69081318905
2018-04-30,170156.0552983287,30883.544133520387,32718.29056074479,45729.54502513892,31875.1281958538,28949.5473830708,177510.1621060098,136477.89575634143
2018-05-01,170742.60124470663,30959.22172475158,32754.775354131958,46125.76911915211,31865.15513798652,29037.679908684455,179176.61964401408,134682.81547086113
2018-05-02,171487.61749327133,31214.26561213392,33103.43646695896,46105.11938993411,32017.262918152144,29047.53310609218,182216.46668901123,136409.51490485488
2018-05-03,172900.45040689557,31933.289733771668,33466.263071946596,45798.63406712386,32345.59686230299,29356.666671750463,186953.38245910796,143911.51884169385
2018-05-04,172075.6548104167,31752.094230898176,33713.414936048735,45511.82414530385,31940.19808304803,29158.123415117894,184585.0382115496,143274.9466247862
2018-05-05,173422.47138980564,32045.78423735327,34298.220534165615,45732.25444612289,31990.049501635593,29356.162670528265,188645.06130573127,145599.52056960482
2018-05-06,172047.7585398527,31529.006263526237,33903.92671339623,45839.75242889333,31706.661492385592,29068.41164165129,184576.48048508202,142596.14299400963
2018-05-07,170109.68180772735,31002.649056567792,33645.34931266222,45425.61530836596,31345.392319717586,28690.675810413777,178984.57947102454,138434.25734984173
2018-05-08,169217.38632831868,30827.223432124963,33300.28236576014,45171.322099043035,31345.493048751323,28573.065382639197,176455.40311023348,136393.27427233564
2018-05-09,168887.1449558985,31101.047497234464,33185.6991808659,44769.88754426952,31256.80002482915,28573.710708699447,175547.82631901396,137727.83310514473
2018-05-10,165881.9698611198,30317.52322275508,32552.296579735746,43457.584614070314,30991.737854358875,28562.827590199784,166459.34025442423,133574.08220053356
2018-05-11,161254.19036975427,29113.11484975462,31211.47153286351,42028.36938914511,30338.407007791277,28562.827590199784,150491.2902435815,124676.22041826838
2018-05-12,162292.16985946108,29345.444623405107,31644.53591880153,42407.11875964517,30332.2429674095,28562.827590199784,154662.3138593785,125612.59528841363
2018-05-13,163794.47187321843,30061.227329790487,31734.475768552744,43103.69821726593,30332.2429674095,28562.827590199784,161161.1995690568,128847.85621126667
2018-05-14,163208.61350897705,29813.58932052089,31570.33186582059,42929.621765026284,30332.2429674095,28562.827590199784,161728.15550542306,128742.24883000014
2018-05-15,162199.2909908099,29282.46306829572,31011.0912760243,41814.52467157843,30332.2429674095,29758.96900750197,156942.60157120874,125693.68306463328
2018-05-16,161933.2123214603,29070.873263463018,30213.815952184385,42129.77156075505,30332.2429674095,30186.50857764835,153711.5038901646,123603.06942185292
2018-05-17,157807.78732410836,28615.69889749306,29686.8407439299,40994.604677097224,30332.2429674095,28178.400038178686,145960.08732642658,119548.70224581551
2018-05-18,161606.96317615145,30312.622883037082,29693.398717283177,41698.58186584776,30332.2429674095,29570.116742573955,152193.99745656736,121862.33611979411
2018-05-19,160204.54716709274,29488.81675889536,29543.225733584386,41768.903143526324,30332.2429674095,29071.358563677186,150513.17550192436,121806.35930380186
2018-05-20,164043.14459919385,29744.16573561126,30256.53050068456,44396.14585420274,30332.2429674095,29314.059541285795,156530.10062537336,125736.07313477018
2018-05-21,163839.8301512993,29821.67018766727,29850.61077265164,45329.97793508697,30332.2429674095,28505.32828848394,152918.44534229764,124343.90765339804
2018-05-22,157575.31782409246,28409.72664641487,29227.22936869865,41584.59634233556,30332.2429674095,28021.52249923387,141685.47467195493,118772.71443927087
2018-05-23,153932.83038119186,27428.016680011224,28336.051192681323,40645.53537056097,30332.2429674095,27190.984170528845,130919.37997733573,111624.88898568522
2018-05-24,156110.61358670134,27683.779518862906,28328.76373873791,42584.631163957056,30332.2429674095,27181.196197733952,135894.78612075717,112060.88362166102
2018-05-25,155419.97733707266,27688.849247433005,28328.76373873791,41888.92518575828,30332.2429674095,27181.196197733952,131468.14730615032,110477.60224224575
2018-05-26,155632.599603421,27514.28645381074,28328.76373873791,42276.11024572887,30332.2429674095,27181.196197733952,130821.92073126808,108642.3458627313
2018-05-27,155165.98372855238,27408.03852568232,28328.76373873791,41915.7422989887,30332.2429674095,27181.196197733952,128987.33042432855,108824.6058563634
2018-05-28,152246.10954807518,26919.908524033057,28328.76373873791,39483.998120160744,30332.2429674095,27181.196197733952,118088.97364092946,105394.69532768107
2018-05-29,153601.55527802865,27366.920364969697,28328.76373873791,40392.43200917759,30332.2429674095,27181.196197733952,127664.1996764013,110366.08852082235
2018-05-30,153114.09834160056,27365.85842489794,28328.76373873791,39906.037012821245,30332.2429674095,27181.196197733952,126364.70174351706,109390.27314479437
2018-05-31,154075.6529777611,28470.50078488458,28328.76373873791,39762.94928899519,30332.2429674095,27181.196197733952,128739.75672108473,110684.8145398373
2018-06-01,153841.8565075394,28506.042737705975,28328.76373873791,39493.61086595203,30332.2429674095,27181.196197733952,130016.71620118424,111383.11846827467
2018-06-02,155742.40229530173,28828.84973180032,28328.76373873791,41071.34965962005,30332.2429674095,27181.196197733952,135797.5961932659,112889.60300235348
2018-06-03,155656.99425103085,28741.397962696992,28328.76373873791,41073.39338445249,30332.2429674095,27181.196197733952,138178.67285609603,114023.89435511813
2018-06-04,154311.3931064754,28510.145551344063,28328.76373873791,39959.04465124997,30332.2429674095,27181.196197733952,131845.02472261342,110984.63882802054
2018-06-05,155902.79170560505,29504.322757141832,28328.76373873791,40556.26604458186,30332.2429674095,27181.196197733952,134984.45693972797,112746.48062536528
2018-06-06,156877.25385303568,30795.979917736968,28328.76373873791,40239.071031417334,30332.2429674095,27181.196197733952,134796.66969334907,113045.12220318743
2018-06-07,156452.5500073076,29980.432863015016,28328.76373873791,40629.91424041124,30332.2429674095,27181.196197733952,133941.2929140878,113403.43296105595
2018-06-08,155927.23384861503,29989.11656350771,28328.76373873791,40095.91438122595,30332.2429674095,27181.196197733952,131655.56983168333,112615.92094013929
2018-06-09,155656.99624867062,29728.916068079106,28328.76373873791,40085.87727671016,30332.2429674095,27181.196197733952,129742.1145710985,111243.2485447794
2018-06-10,150990.99794488022,28272.70481008987,28328.76373873791,36876.09023090897,30332.2429674095,27181.196197733952,113658.54244142992,100225.82556248149
2018-06-11,151791.52183571825,29089.95664546175,28328.76373873791,36859.36228637513,30332.2429674095,27181.196197733952,116011.31258551918,102011.45137672167
2018-06-12,151669.83332721528,28968.268136958806,28328.76373873791,36859.36228637513,30332.2429674095,27181.196197733952,108445.29925912434,97217.87580170989
2018-06-13,151189.02076421934,28487.455573962838,28328.76373873791,36859.36228637513,30332.2429674095,27181.196197733952,103882.55788647123,93784.56858656369
2018-06-14,151409.82651829143,28708.26132803493,28328.76373873791,36859.36228637513,30332.2429674095,27181.196197733952,111379.92828847519,98591.2909968697
2018-06-15,151069.25431110605,28820.526695972738,28328.76373873791,36406.52471125196,30332.2429674095,27181.196197733952,106255.44894296658,95360.17677192902
2018-06-16,151627.48683635064,29386.57678019498,28328.76373873791,36398.707152274284,30332.2429674095,27181.196197733952,107354.55213462118,96742.30363852902
2018-06-17,152227.13317334244,29986.223117186815,28328.76373873791,36398.707152274284,30332.2429674095,27181.196197733952,106669.40846434775,95990.68399241182
2018-06-18,152473.3922357237,30232.48217956805,28328.76373873791,36398.707152274284,30332.2429674095,27181.196197733952,109669.77332568035,99469.62651953935
2018-06-19,152321.66804065317,30080.757984497493,28328.76373873791,36398.707152274284,30332.2429674095,27181.196197733952,110815.82932736739,99988.33155265705
2018-06-20,151793.02905950515,29552.119003349497,28328.76373873791,36398.707152274284,30332.2429674095,27181.196197733952,110573.46536681407,100085.95563898626
2018-06-21,152924.6085281273,30334.14542199921,28328.76373873791,36748.260202246754,30332.2429674095,27181.196197733952,109848.43442436836,99394.60373974453
2018-06-22,148020.46082502752,29099.483373035677,28328.76373873791,33078.77454811048,30332.2429674095,27181.196197733952,97119.0818395536,89852.79222411204
2018-06-23,147966.23657092068,29065.274787577506,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,98048.35296803141,91016.47825633874
2018-06-24,147138.55925403413,28237.59747069094,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,94927.40132106937,91175.24991066568
2018-06-25,147456.3307809899,28555.368997646732,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,96166.72779079863,92296.99299496516
2018-06-26,146882.02196401032,27981.06018066714,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,91311.12403847651,90000.19110868637
2018-06-27,146833.51250098844,27932.550717645237,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,93314.048669727,90937.460223251
2018-06-28,146884.0481758503,27983.08639250709,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,88207.46224948182,87190.5977410953
2018-06-29,147145.86907095576,28244.90728761257,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,92354.64546964965,91840.90670614803
2018-06-30,147249.05737530472,28348.095591961537,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,97152.7293214549,94583.5976102039
2018-07-01,147074.71912393387,28173.757340590684,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,96742.34979265484,94315.0862999952
2018-07-02,147186.0250910634,28285.063307720196,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,103607.2036100004,97687.84451397274
2018-07-03,146925.4757407832,28024.51395744004,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,101820.78332805273,96438.49130870147
2018-07-04,146819.56555947877,27918.6037761356,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,103096.39157544429,97442.22297624014
2018-07-05,146723.47668370642,27822.51490036324,28328.76373873791,33058.75887946182,30332.2429674095,27181.196197733952,101788.86051154365,98056.48956420369
2018-07-06,147019.48987976508,27628.816127854712,28328.76373873791,33548.47084802902,30332.2429674095,27181.196197733952,101356.21462892377,98563.96606053963
2018-07-07,147263.97498834226,27620.457011412298,28328.76373873791,33801.315073048616,30332.2429674095,27181.196197733952,104777.1863192083,101273.1300105182
2018-07-08,146690.87891336245,27384.22890848287,28328.76373873791,33464.447100998215,30332.2429674095,27181.196197733952,102762.26148563925,100046.52234475216
2018-07-09,146516.4213276364,27206.81358181986,28328.76373873791,33467.4048419352,30332.2429674095,27181.196197733952,99984.63986495814,99571.98144731298
2018-07-10,145548.40506275924,27199.237886602874,28328.76373873791,32506.964272274978,30332.2429674095,27181.196197733952,92316.032866796,93489.92226203454
2018-07-11,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,92829.69500842324,94446.38878502115
2018-07-12,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,89805.51964937695,91996.13744104028
2018-07-13,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,92847.16628302212,92132.60346642314
2018-07-14,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,92951.09563891702,92694.8812800388
2018-07-15,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,95563.68638879852,93928.42655170341
2018-07-16,145540.45415909163,27199.237886602874,28328.76373873791,32499.013368607386,30332.2429674095,27181.196197733952,103979.16088383894,99571.981447313
2018-07-17,145759.6150767294,27199.237886602874,28328.76373873791,32718.174286245132,30332.2429674095,27181.196197733952,112859.06320733913,108127.78031587746
2018-07-18,145120.6703802198,27199.237886602874,27913.488776325605,32494.50455214785,30332.2429674095,27181.196197733952,112255.91046222959,108862.40931802691
