date,swarm,ticker,action,prev_weight,weight,weight_change,position_value,regime,gamma_eff
2018-04-11,epsilon,FIL-USD,SELL,0.5,0.463816,-0.036184,9087.59,GROWTH,1.0
2018-04-11,epsilon,ZEC-USD,SELL,0.5,0.463816,-0.036184,9087.59,GROWTH,1.0
2018-04-12,epsilon,FIL-USD,BUY,0.463816,0.4799,0.016084,9490.51,GROWTH,1.0
2018-04-12,epsilon,ZEC-USD,BUY,0.463816,0.4799,0.016084,9490.51,GROWTH,1.0
2018-04-13,epsilon,FIL-USD,BUY,0.4799,0.5,0.0201,11993.76,GROWTH,1.0
2018-04-13,epsilon,ZEC-USD,BUY,0.4799,0.5,0.0201,11993.76,GROWTH,1.0
2018-04-14,beta,BCH-USD,SELL,0.25,0.244502,-0.005498,5836.41,GROWTH,1.0
2018-04-14,beta,LINK-USD,SELL,0.25,0.244502,-0.005498,5836.41,GROWTH,1.0
2018-04-14,beta,LTC-USD,SELL,0.25,0.244502,-0.005498,5836.41,GROWTH,1.0
2018-04-14,beta,XRP-USD,SELL,0.25,0.244502,-0.005498,5836.41,GROWTH,1.0
2018-04-14,delta,DASH-USD,SELL,0.25,0.242392,-0.007608,5968.63,GROWTH,1.0
2018-04-14,delta,DOGE-USD,SELL,0.25,0.242392,-0.007608,5968.63,GROWTH,1.0
2018-04-14,delta,NEO-USD,SELL,0.25,0.242392,-0.007608,5968.63,GROWTH,1.0
2018-04-14,delta,XMR-USD,SELL,0.25,0.242392,-0.007608,5968.63,GROWTH,1.0
2018-04-14,gamma,EOS-USD,SELL,0.25,0.244029,-0.005971,6090.51,GROWTH,1.0
2018-04-14,gamma,ETC-USD,SELL,0.25,0.244029,-0.005971,6090.51,GROWTH,1.0
2018-04-14,gamma,TRX-USD,SELL,0.25,0.244029,-0.005971,6090.51,GROWTH,1.0
2018-04-14,gamma,XLM-USD,SELL,0.25,0.244029,-0.005971,6090.51,GROWTH,1.0
2018-04-15,beta,BCH-USD,BUY,0.244502,0.25,0.005498,6013.98,GROWTH,1.0
2018-04-15,beta,LINK-USD,BUY,0.244502,0.25,0.005498,6013.98,GROWTH,1.0
2018-04-15,beta,LTC-USD,BUY,0.244502,0.25,0.005498,6013.98,GROWTH,1.0
2018-04-15,beta,XRP-USD,BUY,0.244502,0.25,0.005498,6013.98,GROWTH,1.0
2018-04-15,delta,DASH-USD,BUY,0.242392,0.25,0.007608,6278.59,GROWTH,1.0
2018-04-15,delta,DOGE-USD,BUY,0.242392,0.25,0.007608,6278.59,GROWTH,1.0
2018-04-15,delta,NEO-USD,BUY,0.242392,0.25,0.007608,6278.59,GROWTH,1.0
2018-04-15,delta,XMR-USD,BUY,0.242392,0.25,0.007608,6278.59,GROWTH,1.0
2018-04-15,gamma,EOS-USD,BUY,0.244029,0.25,0.005971,6321.54,GROWTH,1.0
2018-04-15,gamma,ETC-USD,BUY,0.244029,0.25,0.005971,6321.54,GROWTH,1.0
2018-04-15,gamma,TRX-USD,BUY,0.244029,0.25,0.005971,6321.54,GROWTH,1.0
2018-04-15,gamma,XLM-USD,BUY,0.244029,0.25,0.005971,6321.54,GROWTH,1.0
2018-04-17,beta,BCH-USD,SELL,0.25,0.225917,-0.024083,5627.22,GROWTH,1.0
2018-04-17,beta,LINK-USD,SELL,0.25,0.225917,-0.024083,5627.22,GROWTH,1.0
2018-04-17,beta,LTC-USD,SELL,0.25,0.225917,-0.024083,5627.22,GROWTH,1.0
2018-04-17,beta,XRP-USD,SELL,0.25,0.225917,-0.024083,5627.22,GROWTH,1.0
2018-04-17,delta,DASH-USD,SELL,0.25,0.221629,-0.028371,5828.39,GROWTH,1.0
2018-04-17,delta,DOGE-USD,SELL,0.25,0.221629,-0.028371,5828.39,GROWTH,1.0
2018-04-17,delta,NEO-USD,SELL,0.25,0.221629,-0.028371,5828.39,GROWTH,1.0
2018-04-17,delta,XMR-USD,SELL,0.25,0.221629,-0.028371,5828.39,GROWTH,1.0
2018-04-17,epsilon,FIL-USD,SELL,0.5,0.402332,-0.097668,10155.06,GROWTH,1.0
2018-04-17,epsilon,ZEC-USD,SELL,0.5,0.402332,-0.097668,10155.06,GROWTH,1.0
2018-04-17,gamma,EOS-USD,SELL,0.25,0.220191,-0.029809,5722.43,GROWTH,1.0
2018-04-17,gamma,ETC-USD,SELL,0.25,0.220191,-0.029809,5722.43,GROWTH,1.0
2018-04-17,gamma,TRX-USD,SELL,0.25,0.220191,-0.029809,5722.43,GROWTH,1.0
