Date,Baseline_NAV,Gamma_Only_NAV,Full_NAV,Baseline_Return,Gamma_Only_Return,Full_Gross_Return,Full_Net_Return,SPY_Return,Combined_Regime,DDH_State,Gamma_Regime,Base_Gamma,Adjusted_Gamma,Gamma_Beliefs,Conviction_Csys,Portfolio_DD_pct,God_Mode,VIX,Hedge_Payout_bps,Hedge_Cost_bps,Hedge_Net_Impact
2022-08-30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.010977893251755688,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,26.209999084472656,0.0,0.0,0.0
2022-08-31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.007609029570476156,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,25.8700008392334,0.0,0.0,0.0
2022-09-01,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.003137904085579901,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,25.559999465942383,0.0,0.0,0.0
2022-09-02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.010544474160108841,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,25.469999313354492,0.0,0.0,0.0
2022-09-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0037731834630141403,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,26.90999984741211,0.0,0.0,0.0
2022-09-07,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01796499493569237,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,24.639999389648438,0.0,0.0,0.0
2022-09-08,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.006536286578678441,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,23.610000610351562,0.0,0.0,0.0
2022-09-09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015535180190909603,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,22.790000915527344,0.0,0.0,0.0
2022-09-12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010747761818237667,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,23.8700008392334,0.0,0.0,0.0
2022-09-13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.04348253986881323,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,27.270000457763672,0.0,0.0,0.0
2022-09-14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.003815844602254037,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,26.15999984741211,0.0,0.0,0.0
2022-09-15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.011353538917833972,BURN_IN,NORMAL_TRENDING,DEFENSIVE,1.0,1.0,,0.5,0.0,False,26.270000457763672,0.0,0.0,0.0
