Date,From,To,DDH,Gamma,VIX,NAV
2022-11-23,BURN_IN,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,20.350000381469727,1.013150810218845
2022-12-07,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,22.68000030517578,1.0175994137810784
2022-12-09,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,22.829999923706055,1.046442525330798
2022-12-16,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,22.6200008392334,1.014737730921207
2023-01-05,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,22.459999084472656,1.0107507960268303
2023-01-06,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,21.1299991607666,1.0416225755490967
2023-01-09,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,21.969999313354492,1.0455415926369416
2023-02-13,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,20.34000015258789,1.0662991356897793
2023-03-14,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,23.729999542236328,1.1006142434541337
2023-05-25,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,19.139999389648438,1.240391004723931
2023-05-26,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,17.950000762939453,1.2573468994548405
2023-06-23,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,13.4399995803833,1.223710442925653
2023-07-13,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,13.609999656677246,1.2951336682364987
2023-08-03,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,15.920000076293945,1.250178933692289
2023-08-30,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,13.880000114440918,1.3001982651148263
2023-09-07,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,14.399999618530273,1.2473936872318647
2023-11-20,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,13.40999984741211,1.2930656578099504
2023-12-06,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,12.970000267028809,1.2493024948129943
2023-12-14,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,12.479999542236328,1.324314793035622
2024-01-04,DEFENSIVE_NORMAL,RISK_OFF,EARLY_DD_UNCERTAINTY,CRISIS,14.130000114440918,1.295682076133419
2024-01-30,RISK_OFF,DEFENSIVE_NORMAL,NORMAL_TRENDING,CRISIS,13.3100004196167,1.3324473532974228
2024-02-09,DEFENSIVE_NORMAL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,12.930000305175781,1.3443746355504178
2024-03-20,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,13.039999961853027,1.5988890610077555
2024-03-21,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,12.920000076293945,1.5901682904241605
2024-04-18,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,18.0,1.6522162958151345
2024-05-13,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,13.600000381469727,1.6800247252684657
2024-07-22,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,14.90999984741211,1.8283533051675331
